-0.206443,51.496345,2,1,5,0.1,-1,1,2,2,3
-0.189713,51.489523,2,1,2,5,4,7,1,1,3
-0.173827,51.490536,2,1,3,3,4,1,1,1,3
-0.192311,51.496668,1,1,4,3,4,4,1,1,3
-0.171308,51.495892,2,1,5,7,4,1,1,1,3
-0.204301,51.495863,3,1,6,0.1,-1,1,1,1,3
-0.201326,51.498245,2,1,6,3,4,4,1,2,3
-0.216389,51.518349,2,1,5,1,4,4,2,2,3
-0.207445,51.507511,2,1,6,6,4,1,1,1,3
-0.179731,51.497822,2,1,1,3,4,4,2,2,3
-0.165585,51.498501,1,1,1,9,4,4,5,2,2
-0.184189,51.501668,2,1,7,6,2,1,9,1,3
-0.195197,51.514787,1,1,5,7,2,1,2,2,2
-0.194885,51.489873,1,1,5,6,2,1,1,1,3
-0.198991,51.506302,1,2,4,3,4,4,1,1,2
-0.185997,51.485149,2,1,5,0.1,-1,1,1,1,3
-0.175605,51.489305,2,1,5,6,2,4,1,1,2
-0.194541,51.505874,2,1,6,3,4,4,2,2,3
-0.216055,51.504765,2,2,6,1,2,4,2,2,2
-0.190089,51.501849,1,1,6,3,4,4,2,2,3
-0.174917,51.484887,2,1,2,3,4,1,1,1,3
-0.195118,51.487628,2,1,2,3,4,4,2,2,3
-0.187336,51.484091,2,1,2,3,4,1,1,1,3
-0.18691,51.50207,2,1,2,3,4,1,1,2,3
-0.177051,51.48555,2,1,4,6,4,1,1,1,3
-0.192487,51.488577,1,1,4,9,2,1,2,2,2
-0.200537,51.492657,3,5,4,6,2,4,2,2,3
-0.190424,51.493401,1,1,4,9,4,4,2,2,3
-0.20923,51.5061,2,1,5,3,4,4,8,2,3
-0.1563,51.489362,2,1,5,3,4,1,1,2,3
-0.183017,51.494905,1,1,7,6,2,4,2,2,3
-0.19117,51.489096,1,1,6,0.1,-1,1,2,2,2
-0.207905,51.514173,2,1,4,6,4,1,2,2,3
-0.195431,51.501572,2,1,3,0.1,-1,1,1,1,3
-0.207908,51.514083,1,1,2,3,2,1,1,1,3
-0.184189,51.501668,2,1,2,3,2,4,1,1,3
-0.194121,51.494627,2,1,2,0.1,-1,1,1,1,3
-0.189938,51.502026,1,2,3,3,4,4,1,1,3
-0.208156,51.500418,2,1,3,3,4,1,1,1,2
-0.177882,51.482775,2,1,3,3,4,1,1,1,3
-0.222404,51.515652,2,2,3,9,4,1,1,1,3
-0.19044,51.489355,1,1,6,9,2,4,2,2,3
-0.168972,51.496665,2,1,4,3,2,1,2,2,3
-0.214123,51.502577,2,1,4,6,2,4,2,2,3
-0.195427,51.494377,2,2,4,6,2,1,1,1,3
-0.196869,51.490713,1,1,4,3,4,1,1,1,3
-0.183125,51.495806,2,1,5,6,4,1,5,2,3
-0.18137,51.485617,2,1,5,3,4,4,1,2,3
-0.216374,51.50396,2,1,7,1,2,1,1,1,3
-0.209966,51.516722,1,1,7,6,2,1,1,1,3
-0.178126,51.480261,2,1,7,0.1,-1,4,2,2,3
-0.184111,51.481883,2,1,3,3,4,1,2,2,3
-0.214559,51.506181,2,1,3,0.1,-1,4,1,1,3
-0.187432,51.481664,1,1,4,3,4,4,5,2,3
-0.18504,51.494757,2,1,7,6,2,4,1,1,3
-0.201473,51.498157,2,1,7,3,4,4,1,1,3
-0.209134,51.5159,2,2,7,6,2,1,1,1,3
-0.169102,51.49343,2,1,7,6,2,7,4,2,3
-0.193863,51.504785,1,1,6,3,4,1,2,2,3
-0.202646,51.497636,1,1,6,3,4,4,2,2,3
-0.214404,51.524883,1,1,2,0.1,-1,4,1,1,3
-0.160415,51.501657,2,1,3,9,2,1,1,2,3
-0.165437,51.498588,2,1,6,3,4,1,1,2,3
-0.176027,51.493178,2,1,5,6,4,4,1,1,3
-0.196944,51.496109,2,1,3,0.1,-1,4,2,2,3
-0.196115,51.495197,2,1,4,3,4,4,1,1,3
-0.209801,51.520946,1,1,4,6,4,4,1,1,3
-0.185573,51.484963,2,2,5,6,4,4,1,1,3
-0.174422,51.493693,1,1,5,7,2,1,1,1,3
-0.202644,51.519668,2,1,5,0.1,-1,4,4,1,3
-0.173445,51.482077,2,1,7,6,2,1,1,1,3
-0.150108,51.485758,2,1,5,6,2,1,1,1,3
-0.200256,51.492473,1,1,5,3,2,4,1,1,3
-0.19307,51.488406,1,2,5,3,2,1,1,2,3
-0.196824,51.513733,1,1,3,3,4,4,1,2,3
-0.189417,51.486101,2,1,1,0.1,-1,4,1,1,3
-0.19109,51.502044,2,2,7,3,2,1,1,1,3
-0.168911,51.487402,1,1,6,3,2,4,1,1,3
-0.207763,51.499423,2,1,6,6,4,4,2,2,3
-0.207772,51.506527,2,1,6,3,2,4,2,2,3
-0.217924,51.512257,2,1,5,3,4,1,1,1,3
-0.193714,51.501275,1,1,2,3,4,1,1,2,2
-0.167342,51.48342,2,2,2,6,2,1,1,1,3
-0.182549,51.481319,2,1,2,3,4,1,1,1,3
-0.185762,51.4802,2,1,6,3,4,4,1,1,3
-0.161244,51.498972,1,1,6,3,4,1,1,1,3
-0.202071,51.49394,2,1,6,6,4,1,1,1,3
-0.18354,51.485381,1,2,2,0.1,-1,4,1,1,2
-0.216487,51.515832,1,1,2,0.1,-1,1,1,1,2
-0.184073,51.500947,2,1,4,8,4,1,1,1,3
-0.157898,51.492625,2,1,3,1,4,1,1,1,3
-0.208211,51.506354,1,1,4,3,4,1,1,1,3
-0.175802,51.484362,1,1,6,6,2,4,1,1,3
-0.177006,51.493913,2,1,2,3,4,1,1,1,3
-0.207823,51.497895,1,1,6,6,4,1,1,1,3
-0.205139,51.500192,2,3,3,3,4,1,1,1,3
-0.194537,51.505964,2,1,3,3,2,4,1,1,3
-0.173158,51.485669,2,1,3,6,4,1,1,1,3
-0.15689,51.492609,2,1,4,1,4,1,1,1,3
-0.185184,51.494759,2,1,7,6,4,1,1,1,3
